alert_id,incident_id,timestamp,last_seen,duration_minutes,event_count,username,source_ip,affected_hosts,threat_type,triggered_indicators,triggered_rule_ids,mitre_techniques,ml_anomaly_score,ml_tier,rule_score,ml_bonus,risk_score,severity,status,recommended_response,label,scenarios
ALT-000001,INC-000001,2024-01-01 02:21:04,2024-01-01 02:41:37,20.55,18,employee05,203.0.113.170,"admin-portal,app-server-01,backup-server-01,db-server-01,dc-01,file-server-01,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration,0.220653,strong,125,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000002,INC-000002,2024-01-02 02:20:37,2024-01-02 02:55:11,34.57,22,admin01,192.0.2.68,"admin-jump-host,admin-portal,app-server-01,db-server-01,dc-01,file-server-01,hr-portal,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,"combined_cisco,credential_access"
ALT-000003,INC-000003,2024-01-05 00:57:24,2024-01-05 01:25:22,27.97,21,employee21,192.0.2.58,"admin-portal,backup-server-01,db-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000004,INC-000004,2024-01-05 01:04:58,2024-01-05 01:23:13,18.25,17,employee11,198.51.100.130,"admin-portal,app-server-01,backup-server-01,db-server-01,dc-01,file-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220653,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000005,INC-000005,2024-01-06 03:29:39,2024-01-06 03:49:02,19.38,18,employee26,192.0.2.113,"admin-portal,backup-server-01,db-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000006,INC-000006,2024-01-08 00:52:01,2024-01-08 01:17:59,25.97,20,employee31,192.0.2.35,"admin-portal,backup-server-01,db-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000007,INC-000007,2024-01-08 02:34:16,2024-01-08 02:57:26,23.17,20,employee31,203.0.113.247,"admin-portal,app-server-01,backup-server-01,dc-01,file-server-01,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220653,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000008,INC-000008,2024-01-08 05:50:00,2024-01-08 06:16:35,26.58,21,employee17,198.51.100.89,"admin-portal,backup-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.203684,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000009,INC-000009,2024-01-09 02:21:10,2024-01-09 02:41:25,20.25,20,employee02,203.0.113.44,"admin-portal,app-server-01,backup-server-01,dc-01,file-server-01,hr-portal,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000010,INC-000010,2024-01-09 02:24:04,2024-01-09 02:46:40,22.6,17,employee38,192.0.2.99,"admin-jump-host,admin-portal,app-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration,0.220913,strong,125,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
