event_id,timestamp,username,source_ip,destination_host,event_type,login_status,device_id,login_hour,privilege_level,new_device,mfa_event,process_name,failed_login_count,unique_host_count,unique_ip_count,login_frequency,remote_login,privilege_escalation,credential_access,scenario,label,is_sensitive_host,is_dc_access,event_type_code,user_avg_login_hour,hour_deviation,time_since_last_event_min,failed_success_ratio,triggered_rules,rule_count,rule_score,anomaly_score,anomaly_prediction,is_anomaly,ml_tier
EVT-000001,2024-01-01 00:05:31,employee18,10.20.0.19,vpn-gateway,login,success,DEV-1018,0,user,0,none,,0,1,1,1,1,0,0,credential_access,1,0,0,1,8.5,8.5,9999.0,0.0,R2,1.0,10.0,0.128472,-1,1,strong
EVT-000002,2024-01-01 00:07:31,employee18,10.20.0.19,mail-server-01,process_start,,DEV-1018,0,user,0,none,sim_credential_access_tool,0,2,1,1,0,0,1,credential_access,1,0,0,7,8.5,8.5,2.0,0.0,R8,1.0,30.0,0.040488,-1,1,weak
EVT-000003,2024-01-01 00:10:31,employee18,10.20.0.19,app-server-01,process_start,,DEV-1018,0,user,0,none,sim_credential_access_tool,0,3,1,1,0,0,1,credential_access,1,0,0,7,8.5,8.5,3.0,0.0,R8,1.0,30.0,0.069095,-1,1,strong
EVT-000004,2024-01-01 00:12:31,employee18,10.20.0.19,file-server-01,process_start,,DEV-1018,0,user,0,none,sim_credential_access_tool,0,4,1,1,0,0,1,credential_access,1,0,0,7,8.5,8.5,2.0,0.0,R8,1.0,30.0,0.106216,-1,1,strong
EVT-000005,2024-01-01 00:30:16,admin04,10.30.0.4,vpn-gateway,login,success,DEV-2004,0,admin,0,none,,0,1,1,1,1,0,0,credential_access,1,0,0,1,9.0,9.0,9999.0,0.0,R2,1.0,10.0,0.128472,-1,1,strong
EVT-000006,2024-01-01 00:31:16,admin04,10.30.0.4,db-server-01,process_start,,DEV-2004,0,admin,0,none,sim_credential_access_tool,0,2,1,1,0,0,1,credential_access,1,0,0,7,9.0,9.0,1.0,0.0,R8,1.0,30.0,0.042609,-1,1,weak
EVT-000007,2024-01-01 00:34:16,admin04,10.30.0.4,db-server-01,process_start,,DEV-2004,0,admin,0,none,sim_credential_access_tool,0,2,1,1,0,0,1,credential_access,1,0,0,7,9.0,9.0,3.0,0.0,R8,1.0,30.0,0.037811,-1,1,weak
EVT-000008,2024-01-01 00:37:16,admin04,10.30.0.4,hr-portal,process_start,,DEV-2004,0,admin,0,none,sim_credential_access_tool,0,3,1,1,0,0,1,credential_access,1,0,0,7,9.0,9.0,3.0,0.0,R8,1.0,30.0,0.069095,-1,1,strong
EVT-000009,2024-01-01 00:41:55,admin03,203.0.113.129,mfa-service,mfa_event,,DEV-2003,0,admin,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,9.0,9.0,9999.0,0.0,,0.0,0.0,0.148758,-1,1,strong
EVT-000010,2024-01-01 00:42:55,admin03,203.0.113.129,mfa-service,mfa_event,,DEV-2003,0,admin,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,9.0,9.0,1.0,0.0,,0.0,0.0,0.088358,-1,1,strong
EVT-000011,2024-01-01 00:44:55,admin03,203.0.113.129,mfa-service,mfa_event,,DEV-2003,0,admin,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,9.0,9.0,2.0,0.0,,0.0,0.0,0.087926,-1,1,strong
EVT-000012,2024-01-01 00:47:55,admin03,203.0.113.129,mfa-service,mfa_event,,DEV-2003,0,admin,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,9.0,9.0,3.0,0.0,,0.0,0.0,0.087926,-1,1,strong
EVT-000013,2024-01-01 00:48:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,0,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,8.0,9999.0,0.0,,0.0,0.0,0.148758,-1,1,strong
EVT-000014,2024-01-01 00:48:55,admin03,203.0.113.129,mfa-service,mfa_event,,DEV-2003,0,admin,1,new_device_registered,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,9.0,9.0,1.0,0.0,R4,1.0,25.0,0.088358,-1,1,strong
EVT-000015,2024-01-01 00:49:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,0,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,8.0,1.0,0.0,,0.0,0.0,0.088358,-1,1,strong
EVT-000016,2024-01-01 00:49:55,admin03,203.0.113.129,vpn-gateway,login,success,DEV-2003,0,admin,1,none,,0,2,1,1,1,0,0,mfa_fatigue,1,0,0,1,9.0,9.0,1.0,0.0,"R2,R3",2.0,25.0,0.044171,-1,1,weak
EVT-000017,2024-01-01 00:50:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,0,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,8.0,1.0,0.0,,0.0,0.0,0.088358,-1,1,strong
EVT-000018,2024-01-01 00:51:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,0,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,8.0,1.0,0.0,,0.0,0.0,0.088358,-1,1,strong
EVT-000019,2024-01-01 00:55:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,0,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,8.0,4.0,0.0,,0.0,0.0,0.08449,-1,1,strong
EVT-000020,2024-01-01 00:59:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,0,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,8.0,4.0,0.0,,0.0,0.0,0.08449,-1,1,strong
EVT-000021,2024-01-01 01:00:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,1,user,0,push_denied,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,7.0,1.0,0.0,,0.0,0.0,0.088358,-1,1,strong
EVT-000022,2024-01-01 01:01:33,employee01,198.51.100.120,mfa-service,mfa_event,,DEV-1001,1,user,1,new_device_registered,,0,1,1,0,0,0,0,mfa_fatigue,1,0,0,5,8.0,7.0,1.0,0.0,R4,1.0,25.0,0.088358,-1,1,strong
EVT-000023,2024-01-01 01:02:33,employee01,198.51.100.120,vpn-gateway,login,success,DEV-1001,1,user,1,none,,0,2,1,1,1,0,0,mfa_fatigue,1,0,0,1,8.0,7.0,1.0,0.0,"R2,R3",2.0,25.0,0.044171,-1,1,weak
EVT-000024,2024-01-01 01:46:49,employee03,192.0.2.119,vpn-gateway,login,success,DEV-UNKNOWN-955,1,user,1,none,,0,1,1,1,1,0,0,unusual_login,1,0,0,1,9.0,8.0,9999.0,0.0,"R2,R3",2.0,25.0,0.128472,-1,1,strong
EVT-000025,2024-01-01 01:49:49,employee03,192.0.2.119,file-server-01,server_access,,DEV-UNKNOWN-955,1,user,1,none,,0,2,1,1,0,0,0,unusual_login,1,0,0,4,9.0,8.0,3.0,0.0,,0.0,0.0,0.037811,-1,1,weak
EVT-000026,2024-01-01 01:53:49,employee03,192.0.2.119,hr-portal,server_access,,DEV-UNKNOWN-955,1,user,1,none,,0,3,1,1,0,0,0,unusual_login,1,0,0,4,9.0,8.0,4.0,0.0,,0.0,0.0,0.067477,-1,1,strong
EVT-000027,2024-01-01 01:55:26,employee04,10.20.0.5,vpn-gateway,login,success,DEV-1004,1,user,0,none,,0,1,1,1,1,0,0,lateral_movement,1,0,0,1,9.0,8.0,9999.0,0.0,R2,1.0,10.0,0.128472,-1,1,strong
EVT-000028,2024-01-01 01:56:52,employee04,10.20.0.5,file-server-01,server_access,,DEV-1004,1,user,0,none,,0,2,1,1,0,0,0,lateral_movement,1,0,0,4,9.0,8.0,1.43,0.0,,0.0,0.0,0.041352,-1,1,weak
EVT-000029,2024-01-01 01:58:43,employee04,10.20.0.5,mail-server-01,server_access,,DEV-1004,1,user,0,none,,0,3,1,1,0,0,0,lateral_movement,1,0,0,4,9.0,8.0,1.85,0.0,,0.0,0.0,0.076415,-1,1,strong
EVT-000030,2024-01-01 02:00:32,employee04,10.20.0.5,dc-01,server_access,,DEV-1004,2,user,0,none,,0,4,1,1,0,0,0,lateral_movement,1,1,1,4,9.0,7.0,1.82,0.0,R6,1.0,20.0,0.20185,-1,1,strong
