event_id,timestamp,username,source_ip,destination_host,event_type,rule_id,rule_name,evidence,risk_points,mitre,label
EVT-000001,2024-01-01 00:05:31,employee18,10.20.0.19,vpn-gateway,login,R2,Unusual Login Time,Successful login at 00:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000002,2024-01-01 00:07:31,employee18,10.20.0.19,mail-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'mail-server-01',25,T1003 - OS Credential Dumping,1
EVT-000003,2024-01-01 00:10:31,employee18,10.20.0.19,app-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'app-server-01',25,T1003 - OS Credential Dumping,1
EVT-000004,2024-01-01 00:12:31,employee18,10.20.0.19,file-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'file-server-01',25,T1003 - OS Credential Dumping,1
EVT-000005,2024-01-01 00:30:16,admin04,10.30.0.4,vpn-gateway,login,R2,Unusual Login Time,Successful login at 00:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000006,2024-01-01 00:31:16,admin04,10.30.0.4,db-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'db-server-01',25,T1003 - OS Credential Dumping,1
EVT-000007,2024-01-01 00:34:16,admin04,10.30.0.4,db-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'db-server-01',25,T1003 - OS Credential Dumping,1
EVT-000008,2024-01-01 00:37:16,admin04,10.30.0.4,hr-portal,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'hr-portal',25,T1003 - OS Credential Dumping,1
EVT-000014,2024-01-01 00:48:55,admin03,203.0.113.129,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000016,2024-01-01 00:49:55,admin03,203.0.113.129,vpn-gateway,login,R2,Unusual Login Time,Successful login at 00:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000016,2024-01-01 00:49:55,admin03,203.0.113.129,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-2003',10,T1078 - Valid Accounts,1
EVT-000022,2024-01-01 01:01:33,employee01,198.51.100.120,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000023,2024-01-01 01:02:33,employee01,198.51.100.120,vpn-gateway,login,R2,Unusual Login Time,Successful login at 01:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000023,2024-01-01 01:02:33,employee01,198.51.100.120,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-1001',10,T1078 - Valid Accounts,1
EVT-000024,2024-01-01 01:46:49,employee03,192.0.2.119,vpn-gateway,login,R2,Unusual Login Time,Successful login at 01:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000024,2024-01-01 01:46:49,employee03,192.0.2.119,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-955',10,T1078 - Valid Accounts,1
EVT-000027,2024-01-01 01:55:26,employee04,10.20.0.5,vpn-gateway,login,R2,Unusual Login Time,Successful login at 01:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000030,2024-01-01 02:00:32,employee04,10.20.0.5,dc-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee04' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000031,2024-01-01 02:01:45,employee04,10.20.0.5,backup-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 5 distinct hosts by 'employee04' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000032,2024-01-01 02:02:19,employee04,10.20.0.5,db-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 6 distinct hosts by 'employee04' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000033,2024-01-01 02:21:04,employee05,203.0.113.170,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-146',10,T1078 - Valid Accounts,1
EVT-000034,2024-01-01 02:21:43,employee05,203.0.113.170,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-146',10,T1078 - Valid Accounts,1
EVT-000035,2024-01-01 02:23:04,employee05,203.0.113.170,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-146',10,T1078 - Valid Accounts,1
EVT-000036,2024-01-01 02:23:46,employee05,203.0.113.170,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-146',10,T1078 - Valid Accounts,1
EVT-000037,2024-01-01 02:24:46,employee05,203.0.113.170,vpn-gateway,login,R2,Unusual Login Time,Successful login at 02:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000037,2024-01-01 02:24:46,employee05,203.0.113.170,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-146',10,T1078 - Valid Accounts,1
EVT-000043,2024-01-01 02:32:46,employee05,203.0.113.170,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000044,2024-01-01 02:34:46,employee05,203.0.113.170,admin-portal,privilege_change,R5,Privilege Escalation,Privilege escalation to 'admin' via 'privilege_change' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000045,2024-01-01 02:35:46,employee05,203.0.113.170,app-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'app-server-01',25,T1003 - OS Credential Dumping,1
EVT-000046,2024-01-01 02:37:04,employee05,203.0.113.170,mail-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 5 distinct hosts by 'employee05' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000047,2024-01-01 02:38:03,employee05,203.0.113.170,file-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 6 distinct hosts by 'employee05' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000048,2024-01-01 02:38:57,employee05,203.0.113.170,db-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 7 distinct hosts by 'employee05' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000049,2024-01-01 02:40:13,employee05,203.0.113.170,backup-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 7 distinct hosts by 'employee05' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000050,2024-01-01 02:41:37,employee05,203.0.113.170,dc-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 8 distinct hosts by 'employee05' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000051,2024-01-01 04:56:34,employee15,203.0.113.144,vpn-gateway,login,R2,Unusual Login Time,Successful login at 04:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000051,2024-01-01 04:56:34,employee15,203.0.113.144,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-294',10,T1078 - Valid Accounts,1
EVT-000151,2024-01-01 09:24:58,employee14,10.20.0.15,file-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee14' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,0
EVT-000312,2024-01-02 00:09:57,employee37,10.20.0.38,vpn-gateway,login,R2,Unusual Login Time,Successful login at 00:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000313,2024-01-02 00:16:57,employee37,10.20.0.38,admin-portal,privilege_change,R5,Privilege Escalation,Privilege escalation to 'admin' via 'privilege_change' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000320,2024-01-02 00:35:59,employee01,192.0.2.193,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000321,2024-01-02 00:36:59,employee01,192.0.2.193,vpn-gateway,login,R2,Unusual Login Time,Successful login at 00:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000321,2024-01-02 00:36:59,employee01,192.0.2.193,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-1001',10,T1078 - Valid Accounts,1
EVT-000322,2024-01-02 00:55:46,employee15,10.20.0.16,vpn-gateway,login,R2,Unusual Login Time,Successful login at 00:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000325,2024-01-02 00:59:48,employee15,10.20.0.16,db-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee15' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000326,2024-01-02 01:01:24,employee15,10.20.0.16,app-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 5 distinct hosts by 'employee15' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000327,2024-01-02 01:02:24,employee15,10.20.0.16,hr-portal,server_access,R6,Multiple Host Access (Lateral Movement),Access to 6 distinct hosts by 'employee15' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000328,2024-01-02 02:17:36,employee01,10.20.0.2,vpn-gateway,login,R2,Unusual Login Time,Successful login at 02:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000329,2024-01-02 02:20:37,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000330,2024-01-02 02:21:31,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
